game_id,home_team_x,away_team_x,posteam_x,Total_EPA_x,Total_Yards_Gained_x,Air_Yards_x,Turnovers_x,Total_Rush_Attempts_x,Total_Pass_Attempts_x,total_away_score_x,total_home_score_x,Winner_x,MA_EPA_x,MA_yards_gained_x,MA_air_yards_x,MA_turnovers_x,MA_rush_attempts_x,MA_pass_attempts_x,home_team_y,away_team_y,posteam_y,Total_EPA_y,Total_Yards_Gained_y,Air_Yards_y,Turnovers_y,Total_Rush_Attempts_y,Total_Pass_Attempts_y,total_away_score_y,total_home_score_y,Winner_y,MA_EPA_y,MA_yards_gained_y,MA_air_yards_y,MA_turnovers_y,MA_rush_attempts_y,MA_pass_attempts_y
2018093004,IND,HOU,HOU,8.239307082,466,342,1,35,49,34,37,Home,5.217858312,396,405,2,26.33333333,39,IND,HOU,IND,4.892553422,480,523,2,17,68,34,37,Home,-2.241033344,290,234,1.333333333,21,43.33333333
2018093005,JAX,NYJ,NYJ,-13.87105357,178,360,0,14,38,31,12,Away,-4.062477198,326,255,2.333333333,28.33333333,33.33333333,JAX,NYJ,JAX,6.463681818,503,138,3,34,41,31,12,Away,1.811609712,339,241,1.666666667,23.66666667,38.66666667
2018093006,NE,MIA,MIA,-20.89990186,172,259,2,18,27,38,7,Away,7.788091226,324,225,1.333333333,24.66666667,27,NE,MIA,NE,10.87367948,449,279,2,40,35,38,7,Away,-2.147184475,300,288,1.333333333,24.66666667,35.33333333
2018093007,TEN,PHI,PHI,7.350644818,432,375,1,22,54,26,23,Away,-2.633397517,341,298,1.666666667,29,43.33333333,TEN,PHI,TEN,8.319299649,397,421,1,22,46,26,23,Away,-1.453246254,284,156,1,32.66666667,28.33333333
2018093008,ARI,SEA,SEA,-6.065679204,331,136,0,34,28,17,20,Home,-2.131189873,292,289,1.666666667,25.66666667,36.33333333,ARI,SEA,ARI,-9.494473461,263,245,1,28,28,17,20,Home,-9.452772696,190,196,2.333333333,16,31.66666667
2018093009,OAK,CLE,CLE,-4.163908806,491,390,4,33,44,44,42,Away,-10.93500685,326,356,0.666666667,32.66666667,40.66666667,OAK,CLE,OAK,-3.725549815,567,474,2,29,62,44,42,Away,2.140858474,400,209,1.666666667,27.33333333,38.66666667
2018093010,LAC,SF,SF,-9.144520451,364,205,2,21,38,29,26,Away,5.077573328,360,264,1.333333333,27.33333333,34.33333333,LAC,SF,LAC,-2.889100418,370,261,1,27,41,29,26,Away,9.357667059,416,286,1,23,38.33333333
2018093011,NYG,NO,NO,16.32770829,389,255,0,32,35,18,33,Home,12.93872704,430,292,1.333333333,21.66666667,45,NYG,NO,NYG,1.911671559,301,250,2,15,45,18,33,Home,-0.852934953,319,239,0.666666667,22.66666667,40.66666667
2018093012,PIT,BAL,BAL,11.00138413,451,387,1,30,44,14,26,Home,2.02902118,378,376,1.333333333,28,47.66666667,PIT,BAL,PIT,-8.498207385,286,332,2,11,49,14,26,Home,0.52420393,454,395,2.333333333,23.33333333,49.33333333
2018100100,DEN,KC,KC,16.25566162,446,357,0,26,46,23,27,Home,24.30897459,398,347,0.666666667,26.66666667,32.33333333,DEN,KC,DEN,5.271284248,385,282,1,22,37,23,27,Home,0.668340071,382,296,1.666666667,28,37.66666667
2018100400,NE,IND,IND,-0.417447927,439,470,3,21,60,38,24,Away,-0.457636653,337,306,1.5,20,49.5,NE,IND,NE,16.348331,438,285,2,23,44,38,24,Away,1.108031513,337,286,1.5,28.5,35.25
2018100700,BUF,TEN,TEN,-7.442689332,221,180,3,25,28,13,12,Away,0.989890222,312,222,1,30,32.75,BUF,TEN,BUF,-8.680865802,223,153,1,43,21,13,12,Away,-14.43138412,220,301,1.75,24.5,35.5
2018100701,CAR,NYG,NYG,12.09580835,434,400,2,16,39,32,31,Away,-0.161783325,314,241,1,20.75,41.75,CAR,NYG,CAR,9.101473893,350,313,3,31,36,32,31,Away,8.816519714,369,232,0.666666667,30.66666667,33.66666667
2018100702,CIN,MIA,MIA,-13.84149885,297,202,3,22,38,25,16,Away,0.616092955,286,233,1.5,23,27,CIN,MIA,CIN,-8.051168724,332,248,1,26,32,25,16,Away,9.114611077,376,281,1.75,21,41.25
2018100703,CLE,BAL,BAL,-16.69275785,410,459,2,25,59,12,9,Away,4.272111918,396,379,1.25,28.5,46.75,CLE,BAL,CLE,-5.69604165,416,409,1,28,48,12,9,Away,-9.242232341,367,365,1.5,32.75,41.5
2018100704,DET,GB,GB,-1.167635835,523,456,2,20,58,31,23,Away,0.249403497,371,351,1.25,22.75,44.5,DET,GB,DET,13.75168757,264,234,1,28,29,31,23,Away,0.794153088,390,321,2,21.5,44.25
2018100705,KC,JAX,JAX,-12.37944412,502,647,5,17,66,29,14,Away,2.974627739,380,215,2,26.25,39.25,KC,JAX,KC,11.81687058,424,356,2,30,39,29,14,Away,22.29564635,410,349,0.5,26.5,35.75
2018100706,NYJ,DEN,DEN,-0.679909033,436,330,1,17,56,34,16,Away,1.819076116,383,292,1.5,26.5,37.5,NYJ,DEN,NYJ,14.26691561,512,197,2,38,23,34,16,Away,-6.514621292,289,281,1.75,24.75,34.5
2018100707,PIT,ATL,ATL,-6.052623189,324,359,1,19,51,40,17,Away,11.42395142,411,352,0.75,24,39.5,PIT,ATL,PIT,18.10907435,381,234,1,29,29,40,17,Away,-1.731398899,412,379,2.25,20.25,49.25
2018100708,LAC,OAK,OAK,-6.037819114,289,228,2,13,36,26,10,Away,0.674256402,442,275,1.75,27.75,44.5,LAC,OAK,LAC,19.14635635,412,185,0,31,28,26,10,Away,6.29597519,405,280,1,24,39
2018100709,PHI,MIN,MIN,-1.718168423,375,217,1,23,38,21,22,Home,0.782976115,391,313,1.5,18.25,51.25,PHI,MIN,PHI,-0.941000314,366,307,2,18,38,21,22,Home,-0.137386933,364,317,1.5,27.25,46
2018100710,SF,ARI,ARI,-6.421270578,220,277,0,23,26,18,27,Home,-9.463197888,208,208,2,19,30.75,SF,ARI,SF,-13.82981955,447,260,5,35,60,18,27,Home,1.522049883,361,249,1.5,25.75,35.25
2018100711,SEA,LA,LA,16.43564199,468,271,2,30,33,31,33,Home,16.94127982,470,288,0.75,29,35.25,SEA,LA,SEA,16.9362914,373,240,0,32,23,31,33,Home,-3.114812206,302,250,1.25,27.75,34.25
2018100712,HOU,DAL,DAL,-7.979215393,292,221,2,29,31,19,16,Away,1.046081502,312,223,1,25.5,32.25,HOU,DAL,HOU,-11.76820378,462,290,2,31,45,19,16,Away,5.973220505,413,389,1.75,28.5,41.5
2018100800,NO,WAS,WAS,-4.76561734,283,355,2,18,43,43,19,Away,5.473501,383,209,1,33,34,NO,WAS,NO,24.25459426,447,160,1,33,31,43,19,Away,13.78597235,419,282,1,24.25,42.5
2018101100,NYG,PHI,PHI,13.45536318,379,234,0,31,37,13,34,Home,0.236351857,397,323,1.75,24.75,46.25,NYG,PHI,NYG,-10.11367188,401,275,1,17,47,13,34,Home,5.679438435,342,279,1.25,18.75,41.75
2018101400,ATL,TB,TB,15.73665189,510,457,2,20,44,34,29,Away,7.84696948,432,395,2.25,22.75,39.5,ATL,TB,ATL,19.88365122,417,395,0,22,42,34,29,Away,10.98396463,418,347,0.5,24.25,40.5
2018101401,CIN,PIT,PIT,20.30386288,483,401,0,21,47,21,28,Home,7.300170378,389,342,1,18.75,45.25,CIN,PIT,CIN,11.96900693,275,406,0,13,45,21,28,Home,6.200021946,377,308,1.5,22.5,41.75
2018101402,CLE,LAC,LAC,12.26048804,449,235,1,36,22,14,38,Home,8.108037714,371,205,0.75,26,32.5,CLE,LAC,CLE,-19.81174399,319,450,2,21,52,14,38,Home,-6.137011641,389,364,1.5,30.25,41.75
2018101403,HOU,BUF,BUF,-12.35619643,229,224,2,27,31,19,13,Away,-7.882585831,238,247,1.5,29.75,31,HOU,BUF,HOU,-13.00580289,216,213,4,24,33,19,13,Away,3.229153707,448,367,1.5,27.75,43.5
2018101404,MIA,CHI,CHI,4.254329317,467,339,3,31,33,31,28,Away,5.988232612,341,259,1.25,29,35,MIA,CHI,MIA,10.39879742,543,293,3,31,45,31,28,Away,-4.127463944,274,211,1.75,21.25,29.25
2018101405,MIN,ARI,ARI,-23.7150624,268,209,2,20,35,27,16,Away,-10.04276413,210,225,1.5,21,28,MIN,ARI,MIN,-3.840590651,411,160,2,32,38,27,16,Away,1.448907823,399,304,1.5,16,51
2018101406,NYJ,IND,IND,-4.783408586,428,396,4,23,43,41,34,Away,-0.101651041,352,349,1.75,19.75,50.75,NYJ,IND,NYJ,5.885160974,374,210,2,36,32,41,34,Away,-3.337281443,330,289,2,25.25,34.5
2018101407,OAK,SEA,SEA,13.06551849,369,224,1,37,24,3,27,Home,0.558110089,318,226,0.5,31.75,30.25,OAK,SEA,OAK,-18.80042024,185,91,2,19,37,3,27,Home,0.629069571,415,280,1.5,25.25,43.25
2018101408,WAS,CAR,CAR,-0.489411354,352,306,2,18,42,23,17,Away,8.887758259,364,252,1.25,30.75,34.25,WAS,CAR,WAS,8.733996242,288,260,1,28,39,23,17,Away,2.913721415,358,246,1.25,29.25,36.25
