game_id,home_team,away_team,posteam,Home or Away,Total EPA,Total Yards Gained,Air Yards,Turnovers,Total Rush Attempts,Total Pass Attempts,total_away_score,total_home_score,Winner,Winning Team
2019100603,NO,TB,NO,1,17.0596945,457,260,1,31,36,24,31,NO,1
2019100603,NO,TB,TB,0,6.192955822,252,233,0,22,33,24,31,NO,0
2019100604,NYG,MIN,MIN,0,21.45171454,490,217,1,34,30,28,10,MIN,1
2019100604,NYG,MIN,NYG,1,-10.09459626,211,385,1,20,42,28,10,MIN,0
2019100605,OAK,CHI,CHI,0,1.602233149,236,210,2,17,34,21,24,OAK,0
2019100605,OAK,CHI,OAK,1,3.361328568,398,99,2,39,32,21,24,OAK,1
2019100606,PHI,NYJ,PHI,1,-2.308147773,265,202,0,29,30,6,31,PHI,1
2019100606,PHI,NYJ,NYJ,0,-32.17665527,128,128,4,19,37,6,31,PHI,0
2019100607,PIT,BAL,PIT,1,-3.135110134,269,268,2,19,32,26,23,BAL,0
2019100607,PIT,BAL,BAL,0,-3.33066348,277,216,3,40,33,26,23,BAL,1
2019100608,TEN,BUF,TEN,1,-13.17387248,252,96,0,27,27,14,7,BUF,0
2019100608,TEN,BUF,BUF,0,-1.431334437,313,139,1,27,36,14,7,BUF,1
2019100609,WAS,NE,WAS,1,-17.04582113,223,177,2,20,33,33,7,NE,0
2019100609,WAS,NE,NE,0,13.13294474,442,329,1,27,47,33,7,NE,1
2019100610,LAC,DEN,DEN,0,-6.139453994,350,128,2,32,23,20,13,DEN,1
2019100610,LAC,DEN,LAC,1,-24.9046216,246,212,3,16,48,20,13,DEN,0
2019100611,DAL,GB,GB,0,13.07141479,335,247,0,29,36,34,24,GB,1
2019100611,DAL,GB,DAL,1,0.59732274,563,470,3,21,47,34,24,GB,0
2019100612,KC,IND,IND,0,0.292469211,331,148,1,45,29,19,13,IND,1
2019100612,KC,IND,KC,1,-3.051329702,324,463,1,14,43,19,13,IND,0
2019100700,SF,CLE,CLE,0,-19.91290003,180,247,3,18,28,3,31,SF,0
2019100700,SF,CLE,SF,1,12.27472583,446,181,1,40,31,3,31,SF,1
2019101000,NE,NYG,NYG,0,-34.07860923,213,290,4,16,32,14,35,NE,0
2019101000,NE,NYG,NE,1,-8.738463722,427,280,2,34,44,14,35,NE,1
2019101300,TB,CAR,TB,1,-6.115786043,411,596,7,15,62,37,26,CAR,0
2019101300,TB,CAR,CAR,0,7.824353956,268,303,1,29,34,37,26,CAR,1
2019101301,BAL,CIN,BAL,1,19.69881334,497,253,1,43,34,17,23,BAL,1
2019101301,BAL,CIN,CIN,0,5.321867435,250,298,1,14,41,17,23,BAL,0
2019101302,CLE,SEA,SEA,0,11.81985174,454,280,1,39,36,32,28,SEA,1
2019101302,CLE,SEA,CLE,1,0.764428067,408,353,4,24,38,32,28,SEA,0
2019101303,JAX,NO,NO,0,3.694399355,326,213,0,26,39,13,6,NO,1
2019101303,JAX,NO,JAX,1,-10.89456681,226,220,1,24,31,13,6,NO,0
2019101304,KC,HOU,KC,1,0.993111512,309,350,2,11,36,31,24,HOU,0
2019101304,KC,HOU,HOU,0,14.18386193,474,369,3,41,43,31,24,HOU,1
2019101305,MIA,WAS,MIA,1,-7.142091996,271,266,2,21,49,17,16,WAS,0
2019101305,MIA,WAS,WAS,0,-5.269143698,311,222,0,33,25,17,16,WAS,1
2019101306,MIN,PHI,MIN,1,12.67001184,447,374,2,35,30,20,38,MIN,1
2019101306,MIN,PHI,PHI,0,-2.0430746,400,375,3,22,43,20,38,MIN,0
2019101307,ARI,ATL,ATL,0,23.33372028,444,319,0,25,38,33,34,ARI,0
2019101307,ARI,ATL,ARI,1,23.81329688,442,246,0,29,37,33,34,ARI,1
2019101308,LA,SF,LA,1,-26.41785715,157,155,1,22,28,20,7,SF,0
2019101308,LA,SF,SF,0,-11.94108522,331,145,2,41,35,20,7,SF,1
2019101309,DEN,TEN,DEN,1,-2.882019456,270,216,1,30,29,0,16,DEN,1
2019101309,DEN,TEN,TEN,0,-23.04690623,204,320,3,21,41,0,16,DEN,0
2019101310,NYJ,DAL,DAL,0,8.071341224,399,341,0,34,42,22,24,NYJ,0
2019101310,NYJ,DAL,NYJ,1,10.46797369,382,265,1,20,34,22,24,NYJ,1
2019101311,LAC,PIT,LAC,1,-5.840497746,348,481,3,14,45,24,17,PIT,0
2019101311,LAC,PIT,PIT,0,3.374619194,256,91,1,36,20,24,17,PIT,1
2019101400,GB,DET,GB,1,0.528805248,447,376,2,29,40,22,23,GB,1
2019101400,GB,DET,DET,0,9.922570658,299,328,1,20,35,22,23,GB,0
2019101700,DEN,KC,KC,0,0.026566326,271,172,0,27,31,30,6,KC,1
2019101700,DEN,KC,DEN,1,-27.52437548,205,314,1,22,43,30,6,KC,0
2019102000,ATL,LA,LA,0,16.22110661,381,376,1,36,38,37,10,LA,1
2019102000,ATL,LA,ATL,1,-12.6178992,224,272,2,15,38,37,10,LA,0
2019102001,BUF,MIA,MIA,0,6.280419021,381,335,2,30,36,21,31,BUF,0
2019102001,BUF,MIA,BUF,1,21.22979151,307,272,0,24,28,21,31,BUF,1
2019102002,CIN,JAX,CIN,1,-11.06329662,291,301,4,20,45,27,17,JAX,0
2019102002,CIN,JAX,JAX,0,5.56620025,462,186,0,44,35,27,17,JAX,1
2019102003,DET,MIN,MIN,0,31.5936701,504,379,0,37,34,42,30,MIN,1
2019102003,DET,MIN,DET,1,19.32310742,433,386,1,20,48,42,30,MIN,0
2019102004,GB,OAK,GB,1,31.72323822,481,268,0,23,32,24,42,GB,1
2019102004,GB,OAK,OAK,0,14.76437937,484,318,2,31,31,24,42,GB,0
2019102005,IND,HOU,HOU,0,4.792453217,391,268,2,24,37,23,30,IND,0
2019102005,IND,HOU,IND,1,8.885654769,383,302,1,26,41,23,30,IND,1
2019102006,NYG,ARI,ARI,0,2.310008904,245,112,0,38,23,27,21,ARI,1
