game_id,home_team,away_team,posteam,Total_EPA,Total_Yards_Gained,Air_Yards,Turnovers,Total_Rush_Attempts,Total_Pass_Attempts,total_away_score,total_home_score,Winner,MA_EPA,MA_yards_gained,MA_air_yards,MA_turnovers,MA_rush_attempts,MA_pass_attempts
2019112801,DAL,BUF,BUF,12.54557875,356,227,0,34,29,26,15,Away,8.693043917,365,268,0.25,35,30.75
2019121506,PIT,BUF,BUF,-11.49275299,261,235,2,38,26,17,10,Away,6.146789179,353,274,0.5,34.5,33.5
2019122101,NE,BUF,BUF,0.827613816,268,317,0,23,30,17,24,Home,-1.218252513,313,262,1,35.5,31.75
2019092208,ARI,CAR,CAR,18.46763422,413,215,1,31,28,38,20,Away,-8.903589259,347,396,2,21,47.5
2019092904,HOU,CAR,CAR,-9.601264604,297,278,3,28,37,16,10,Away,0.2201519,369,336,1.666666667,24.33333333,41
2019101300,TB,CAR,CAR,7.824353956,268,303,1,29,34,37,26,Away,1.427969866,376,306,1.25,26.25,38.25
2019102709,SF,CAR,CAR,-29.3904595,232,326,3,20,44,13,51,Home,6.419340583,355,243,1.25,28.75,33.25
2019111003,GB,CAR,CAR,3.690347335,401,358,2,23,47,16,24,Home,-1.072043823,328,301,1.25,27.25,36.75
2019112405,NO,CAR,CAR,9.812291376,351,244,0,29,41,31,34,Home,-10.27699499,337,351,2.5,22.75,45.25
2019120800,ATL,CAR,CAR,-3.746020759,345,384,4,22,46,20,40,Home,-4.248900254,344,336,2,21.75,49
2019122207,IND,CAR,CAR,-21.56930321,286,412,3,21,50,6,38,Home,1.512329443,347,322,2.25,25,45.75
2019091511,DEN,CHI,CHI,7.025140393,273,212,0,29,27,16,14,Away,-15.39337466,254,378,1,15,50
2019092300,WAS,CHI,CHI,2.434891933,298,162,1,24,34,31,15,Away,-4.184117133,263,295,0.5,22,38.5
2019100605,OAK,CHI,CHI,1.602233149,236,210,2,17,34,21,24,Home,-0.833700894,273,239,0.5,25.25,36.25
2019110305,PHI,CHI,CHI,-4.317733437,164,225,1,18,24,14,22,Home,-3.538828577,286,265,1.5,23.75,41
2019111711,LA,CHI,CHI,-26.17635907,267,350,1,24,50,7,17,Home,-7.230317238,258,273,1.25,21.75,37
2019112800,DET,CHI,CHI,12.59287682,419,335,1,23,39,24,20,Away,-11.33663871,248,287,1,23,36.25
2019121503,GB,CHI,CHI,-11.92768534,415,536,3,27,56,13,21,Home,-3.717745364,350,309,1.5,26.75,41.25
2019122909,MIN,CHI,CHI,1.532822977,337,214,1,34,41,21,19,Away,-0.435829961,362,336,1.5,26.5,41.25
2019092200,BUF,CIN,CIN,-9.432133272,306,285,4,19,38,17,21,Home,-4.509330576,372,348,1.5,16.5,51
2019093000,PIT,CIN,CIN,-24.6603646,175,205,2,19,45,3,27,Home,-6.150264808,350,327,2.333333333,17.33333333,46.66666667
2019101301,BAL,CIN,CIN,5.321867435,250,298,1,14,41,17,23,Home,-7.197298282,291,244,1.75,20,42
2019102706,LA,CIN,CIN,7.847208424,401,429,0,22,57,10,24,Home,-4.883475896,271,244,1.75,19,42.5
2019111709,OAK,CIN,CIN,-12.17745847,246,201,2,22,36,10,17,Home,-4.47574948,312,313,2,24,43.75
2019120802,CLE,CIN,CIN,-3.405529075,451,290,1,31,41,19,27,Home,-11.92891009,268,206,1.75,27,34
